日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-05-29,58.01,68.48,71.43,58.01,121119,791398819.0,22.48,14.69,8.77,18.32
2025-05-28,61.2,59.71,62.0,55.32,119236,697922035.0,11.8,5.44,3.08,18.03
2025-05-27,57.0,56.63,59.44,52.73,125871,702743572.0,12.16,2.59,1.43,19.03
2025-05-26,47.0,55.2,55.2,47.0,127372,671297486.0,17.83,20.0,9.2,19.26
2025-05-23,47.99,46.0,49.47,46.0,102292,483892522.0,6.94,-8.0,-4.0,15.47
2025-05-22,49.0,50.0,52.33,45.97,159502,774485515.0,12.72,0.0,0.0,24.12
2025-05-21,42.73,50.0,50.77,42.5,154035,728265809.0,19.55,18.18,7.69,23.29
2025-05-20,38.3,42.31,47.86,38.3,125551,534789459.0,23.85,5.56,2.23,18.99
2025-05-19,36.48,40.08,40.23,36.28,103457,393252578.0,10.97,11.33,4.08,15.64
2025-05-16,34.2,36.0,38.18,33.71,106363,386997845.0,13.26,6.82,2.3,16.08
2025-05-15,33.71,33.7,35.5,32.0,78381,264319488.0,10.33,-0.53,-0.18,11.85
2025-05-14,32.82,33.88,38.25,31.9,115316,392553313.0,19.53,4.21,1.37,17.44
2025-05-13,32.99,32.51,34.87,32.37,102568,341891460.0,7.7,0.12,0.04,15.51
2025-05-12,27.46,32.47,32.47,27.46,95781,296958929.0,18.51,19.99,5.41,14.48
2025-05-09,27.03,27.06,27.5,26.7,23859,64588952.0,2.92,-1.13,-0.31,3.61
2025-05-08,26.45,27.37,27.81,26.4,25500,69422426.0,5.26,2.16,0.58,3.86
2025-05-07,26.82,26.79,27.6,26.5,36597,98695362.0,4.11,0.15,0.04,5.53
2025-05-06,26.4,26.75,26.99,25.65,37269,99032238.0,5.13,2.49,0.65,5.64
2025-04-30,24.37,26.1,26.28,24.3,50352,128737550.0,8.15,7.41,1.8,7.61
2025-04-29,25.0,24.3,25.39,23.5,40923,99505891.0,7.43,-4.48,-1.14,6.19
